ссылка на товар,бренд,наименование,промо цена,регулярная цена,id товара
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-chetyre-vida-myasa-s-burym-risom-1kg.html,Grandorf,"Сухой корм для взрослых собак мелких пород, четыре вида мяса, 3 кг",3565,3565,112550
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-utkoy-14-kg.html,Ownat,"Adult Grain Free Сухой корм для взрослых собак, с уткой, 14 кг",8399,8399,124637
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-krupnyh-porod-s-yagnenkom-risom-i-bobami.html,UNICA,"Maxi сухой корм для собак крупных пород с ягненком, рисом и бобами, 12 кг",5999,5999,146414
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-just-korm-dlya-sobak-bezzernovoy-s-lososem-i-moreproduktami-pak-3kg.html,Ownat,"Grain Free Just Сухой корм беззерновой для собак, с лососем и морепродуктами, 3 кг",2325,2325,117427
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Purina_Veterinary_Diets_EN_konservirovannyy_korm_dlya_sobak_pri_patologii_GKT_bn__400g_1001654.html,PRO PLAN® Veterinary Diets,"Veterinary Diets EN Gastrointestinal влажный корм для взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы, паштет, 400 г",475,475,42612
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-ryboy.html,Ownat,"Adult Classic Корм сухой для собак, с рыбой, 4 кг",1749,1749,138288
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-s-yagnenkom-i-indeykoy1.html,Grandorf,"Корм сухой для собак крупных пород, с ягненком и индейкой, 10 кг",8995,8995,153900
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-ocean-korm-suhoy-dlya-sobak.html,Dog & Dog Wild,"Regional Ocean Сухой корм для собак, с лососем и треской, 12 кг",7299,7299,147002
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Adult_26_suhoy_korm_dlya_sobak_krupnyh_porod.html,Royal Canin,"Maxi Adult 26 корм для собак от 15 месяцев до 5 лет,15 кг",7729,7729,42376
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-yuniorov-vseh-porod-yagnenok-s-risom-3kg.html,Grandorf,"Сухой корм для юниоров всех пород, ягненок с индейкой, 10 кг",8995,8995,155676
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-premium-suh-2kg-dlya-sobak-krupnyh-porod-kurica.html,Aвва,"Premium Adult Сухой корм для собак крупных пород, курица, 12 кг",4199,4199,148094
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/avva-premium-suh-2kg-dlya-shchenkov-krupnyh-porod-indeyka.html,Aвва,"Premium Puppy Сухой корм для щенков крупных пород, индейка, 12 кг",4349,4349,148091
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Adult_27_suhoy_korm_dlya_sobak_melkih_porodr.html,Royal Canin,"Mini Adult корм для взрослых собак малых пород с 10 месяцев до 8 лет, 2 кг",1390,1635,42407
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_sobak_telyatina_naturalnaya_v_gele.html,Yummy,"Мясной Деликатес консервы для собак, с натуральной телятиной в желе, 240 г",199,199,46915
